date/time,value,data_type,location
11/10/2023 17:08,110.71,SmartFLOE™ GPM,Waste - 1
11/10/2023 17:19,110.71,SmartFLOE™ GPM,Waste - 1
11/10/2023 17:29,103.93,SmartFLOE™ GPM,Waste - 1
11/10/2023 17:39,124.7,SmartFLOE™ GPM,Waste - 1
11/10/2023 17:59,90.829,SmartFLOE™ GPM,Waste - 1
11/10/2023 18:09,110.71,SmartFLOE™ GPM,Waste - 1
11/10/2023 18:19,110.71,SmartFLOE™ GPM,Waste - 1
11/10/2023 18:29,87.657,SmartFLOE™ GPM,Waste - 1
11/10/2023 18:39,100.59,SmartFLOE™ GPM,Waste - 1
11/10/2023 18:49,90.829,SmartFLOE™ GPM,Waste - 1
11/10/2023 18:59,100.59,SmartFLOE™ GPM,Waste - 1
11/10/2023 19:09,90.829,SmartFLOE™ GPM,Waste - 1
11/10/2023 19:20,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 19:30,84.529,SmartFLOE™ GPM,Waste - 1
11/10/2023 19:40,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 19:50,72.465,SmartFLOE™ GPM,Waste - 1
11/10/2023 20:00,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 20:10,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 20:20,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 20:30,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 20:40,84.529,SmartFLOE™ GPM,Waste - 1
11/10/2023 20:50,84.529,SmartFLOE™ GPM,Waste - 1
11/10/2023 21:00,75.411,SmartFLOE™ GPM,Waste - 1
11/10/2023 21:10,72.465,SmartFLOE™ GPM,Waste - 1
11/10/2023 21:22,81.444,SmartFLOE™ GPM,Waste - 1
11/10/2023 21:32,72.465,SmartFLOE™ GPM,Waste - 1
11/10/2023 21:42,75.411,SmartFLOE™ GPM,Waste - 1
11/10/2023 21:52,72.465,SmartFLOE™ GPM,Waste - 1
11/10/2023 22:02,78.405,SmartFLOE™ GPM,Waste - 1
11/10/2023 22:12,75.411,SmartFLOE™ GPM,Waste - 1
11/10/2023 22:22,100.59,SmartFLOE™ GPM,Waste - 1
