ID,Label,"Elevation (Ground)
(ft)","Elevation (Invert)
(ft)","X
(ft)","Y
(ft)"
10854,100120310,18.87,12.76,1345916.56,17135482.3
10856,100120350,18.59,13.06,1345886.25,17135433.27
10863,100120410,17.75,11.64,1346264.09,17135291.78
10899,100120770,18.43,13.18,1345647.3,17134998.75
14218,101053550,22,16.25,1346483.75,17136807.46
14219,101053560,22,99,1346483.75,17136807.46
14267,101054040,22,16.18,1346483.14,17136646.84
14288,101054250,19.37,14.61,1346922.18,17136570.33
14297,101054340,22,15.7,1346412.97,17136518.23
15793,101090170,22,16.07,1346358.6,17136418.6
15801,101090250,18.09,13.19,1347238.96,17136397.96
15821,101090450,19.16,14.26,1346796.55,17136308.54
15829,101090530,20.5,14.47,1346851.93,17136278.73
15830,101090540,20.5,99,1346851.93,17136278.73
15856,101090800,18.16,12.96,1347112.72,17136161.89
15868,101090920,19.59,13.95,1346462.05,17136121.5
15890,101091140,19.28,13.43,1346641.3,17136023.88
15897,101091210,20,13.96,1347235.36,17135968.05
15932,101091560,17.56,12.56,1346948.44,17135856.86
15996,101092200,17.96,11.96,1346813.6,17135608.88
16014,101092380,20,12.37,1347005.14,17135545.98
16030,101092540,20,12.04,1347227.12,17135508.36
16070,101092940,18.2,11.4,1346679.38,17135364.59
16073,101092970,20,10.89,1347533.23,17135341.36
16085,101093090,20,10.97,1347154.57,17135297.86
16136,101093600,20,10.01,1347359.56,17135140.53
16148,101093720,20,10.78,1346774.45,17135123.06
16161,101093850,20,10.27,1346917.1,17135071.32
16162,101093860,20,10.47,1346857.85,17135077.56
16164,101093880,18.09,10.89,1346515.9,17135066.31
16173,101093970,20,9.94,1347004.88,17135023.42
16202,101094260,18,10.1,1346789.05,17134916.23
16209,101094330,19.42,9.11,1347225.64,17134901.27
16215,101094390,20,8.16,1347810.14,17134861.97
16220,101094440,18.15,8.63,1347379.46,17134845.38
16221,101094450,18.18,8.82,1347331.77,17134851.98
16222,101094460,18.42,8.86,1347313.01,17134854.83
16239,101094630,19.28,8.35,1347476.22,17134792.72
16255,101094790,18.3,8.1,1347565.84,17134744.96
16265,101094890,18.41,7.83,1347605.39,17134693.14
16267,101094910,17.96,9.18,1347233.83,17134674.13
16275,101094990,20,7.34,1347691.79,17134644.59
16327,101095510,20,9.88,1347254.69,17134385.45
16345,101095690,20,8.81,1347478.26,17134252.34
