ID,Label,Start Node,"Invert (Start)
(ft)",Stop Node,"Invert (Stop)
(ft)","Length (Scaled)
(ft)","Slope (Calculated)
(ft/ft)",Section Type,"Diameter
(in)",Manning's n,Material
23451,101094460-101094450,101094460,8.86,101094450,8.82,19,0.002,Circle,10,0.013,VCP
23849,101094450-101094440,101094450,8.82,101094440,8.63,48.1,0.004,Circle,10,0.013,VCP
24018,100120350-100120310,100120350,13.06,100120310,12.76,57.6,0.005,Circle,10,0.01,PVC
24053,101093860-101093850,101093860,10.47,101093850,10.27,59.6,0.003,Circle,8,0.013,VCP
24114,101090530-101090450,101090530,14.47,101090450,14.26,62.9,0.003,Circle,8,0.01,PVC
24165,101094790-101094890,101094790,8.1,101094890,7.83,65.2,0.004,Circle,10,0.013,VCP
24597,101093720-101093860,101093720,10.78,101093860,10.47,95,0.003,Circle,8,0.013,VCP
24654,101094330-101094460,101094330,9.11,101094460,8.86,98.9,0.003,Circle,10,0.013,VCP
24658,101094890-101094990,101094890,7.83,101094990,7.34,99.1,0.005,Circle,10,0.013,VCP
24675,101093850-101093970,101093850,10.27,101093970,9.94,100,0.003,Circle,8,0.013,VCP
24711,101094630-101094790,101094630,8.35,101094790,8.1,101.5,0.002,Circle,10,0.013,VCP
24863,101094440-101094630,101094440,8.63,101094630,8.35,110.2,0.003,Circle,10,0.013,VCP
24925,101090170-101054340,101090170,16.07,101054340,15.7,113.5,0.003,Circle,8,0.01,PVC
25575,101054040-101054340,101054040,16.18,101054340,15.7,146.5,0.003,Circle,8,0.01,PVC
26456,101094910-101094450,101094910,9.18,101094450,8.82,203,0.002,Circle,12,0.01,PVC
26475,101090920-101091140,101090920,13.95,101091140,13.43,204.1,0.003,Circle,10,0.01,PVC
27101,101094390-101094990,101094390,8.16,101094990,7.34,247.5,0.003,Circle,8,0.013,VCP
27215,101093970-101094330,101093970,9.94,101094330,9.11,252.3,0.003,Circle,8,0.013,VCP
27500,101092970-101093600,101092970,10.89,101093600,10.01,266.5,0.003,Circle,8,0.013,VCP
27543,101090250-101090800,101090250,13.19,101090800,12.96,267.7,0.001,Circle,12,0.01,PVC
27725,101093600-101094330,101093600,10.01,101094330,9.11,274.2,0.003,Circle,8,0.013,VCP
27807,101092200-101092940,101092200,11.96,101092940,11.4,278.7,0.002,Circle,12,0.01,PVC
27905,101091560-101092200,101091560,12.56,101092200,11.96,282.3,0.002,Circle,12,0.01,PVC
28540,101093880-101094260,101093880,10.89,101094260,10.1,311.7,0.003,Circle,12,0.01,PVC
28558,101093090-101093970,101093090,10.97,101093970,9.94,312.6,0.003,Circle,8,0.013,VCP
28773,101090450-101091140,101090450,14.26,101091140,13.43,324.2,0.003,Circle,10,0.01,PVC
29025,100120410-101093880,100120410,11.64,101093880,10.89,338,0.002,Circle,10,0.01,PVC
29058,101092940-101093880,101092940,11.4,101093880,10.89,340.1,0.002,Circle,12,0.01,PVC
29150,101090800-101091560,101090800,12.96,101091560,12.56,346.5,0.001,Circle,12,0.01,PVC
29196,101092540-101092970,101092540,12.04,101092970,10.89,348.7,0.003,Circle,8,0.013,VCP
29216,101091140-101091560,101091140,13.43,101091560,12.56,349.6,0.002,Circle,10,0.01,PVC
29402,101054250-101090250,101054250,14.61,101090250,13.19,360.6,0.004,Circle,10,0.01,PVC
29893,100120310-100120410,100120310,12.76,100120410,11.64,396.3,0.003,Circle,10,0.01,PVC
30437,101054340-101090450,101054340,15.7,101090450,14.26,437.2,0.003,Circle,8,0.01,PVC
30540,101095690-101094990,101095690,8.81,101094990,7.34,446.6,0.003,Circle,8,0.013,VCP
30742,101095510-101094630,101095510,9.88,101094630,8.35,463.6,0.003,Circle,8,0.013,VCP
30949,101091210-101092380,101091210,13.96,101092380,12.37,480.8,0.003,Circle,8,0.013,VCP
30962,101092380-101093720,101092380,12.37,101093720,10.78,481.7,0.003,Circle,8,0.013,VCP
31089,100120770-100120350,100120770,13.18,100120350,13.06,495.9,0,Circle,10,0.01,PVC
31122,101053550-101054250,101053550,16.25,101054250,14.61,498.4,0.003,Circle,8,0.01,PVC
31232,101094260-101094910,101094260,10.1,101094910,9.18,506.4,0.002,Circle,12,0.01,PVC
38194,CO-44,101094990,7.34,OF-2,5,246.2,0.01,Circle,12,0.013,VCP
